PluginName,OriginalFormID,EditorID,Name,IsESL
Skyrim.esm,00000007,Player,Prisoner,No
Skyrim.esm,00013255,Addvar,Addvar,No
Skyrim.esm,0001325C,AiaArria,Aia Arria,No
Skyrim.esm,0001325F,Ahtar,Ahtar,No
Skyrim.esm,00013260,AngelineMorrard,Angeline Morrard,No
Skyrim.esm,00013261,Beirand,Beirand,No
Skyrim.esm,00013262,Bjartur,Bjartur,No
Skyrim.esm,00013264,BolgeirBearclaw,Bolgeir Bearclaw,No
Skyrim.esm,00013265,Bryling,Bryling,No
Skyrim.esm,00013266,CorpulusVinius,Corpulus Vinius,No
Skyrim.esm,00013267,Safia,Safia,No
Skyrim.esm,00013268,Deeja,Deeja,No
Skyrim.esm,00013269,Elenwen,Elenwen,No
Skyrim.esm,0001326A,ElisifTheFair,Elisif the Fair,No
Skyrim.esm,0001326F,Endarie,Endarie,No
Skyrim.esm,00013271,Erdi,Erdi,No
Skyrim.esm,00013272,Erikur,Erikur,No
Skyrim.esm,00013273,EvetteSan,Evette San,No
Skyrim.esm,00013274,FalkFirebeard,Falk Firebeard,No
Skyrim.esm,00013275,Fihada,Fihada,No
Skyrim.esm,00013277,Freir,Freir,No
Skyrim.esm,00013278,Fridrika,Fridrika,No
Skyrim.esm,0001327A,VittoriaVici,Vittoria Vici,No
Skyrim.esm,0001327C,Dervenin,Dervenin,No
Skyrim.esm,0001327D,Geimund,Geimund,No
Skyrim.esm,0001327E,GeneralTullius,General Tullius,No
Skyrim.esm,00013281,GiraudGemane,Giraud Gemane,No
Skyrim.esm,00013282,Gisli,Gisli,No
Skyrim.esm,00013283,Greta,Greta,No
Skyrim.esm,00013284,GulumEi,Gulum-Ei,No
Skyrim.esm,00013285,Guthrum,Guthrum,No
Skyrim.esm,00013286,Heimvar,Heimvar,No
Skyrim.esm,00013287,Hjorunn,Hjorunn,No
Skyrim.esm,00013288,Horm,Horm,No
Skyrim.esm,00013289,Illdi,Illdi,No
Skyrim.esm,0001328A,IngeSixFingers,Inge Six Fingers,No
Skyrim.esm,0001328B,IrnskarIronhand,Irnskar Ironhand,No
Skyrim.esm,0001328C,Jala,Jala,No
Skyrim.esm,0001328D,JareeRa,Jaree-Ra,No
Skyrim.esm,0001328E,Jawanan,Jawanan,No
Skyrim.esm,0001328F,Jorn,Jorn,No
Skyrim.esm,00013290,Katla,Katla,No
Skyrim.esm,00013291,KharagGroShurkul,Kharag gro-Shurkul,No
Skyrim.esm,00013292,Kayd,Kayd,No
Skyrim.esm,00013293,Kjar,Kjar,No
Skyrim.esm,00013294,Knud,Knud,No
Skyrim.esm,00013295,AtAfAlan,Ataf,No
Skyrim.esm,00013296,LeifWayfinder,Captain Wayfinder,No
Skyrim.esm,00013297,Lisette,Lisette,No
Skyrim.esm,00013298,Mazaka,Ma'zaka,No
Skyrim.esm,00013299,Melaran,Melaran,No
Skyrim.esm,0001329A,Sayma,Sayma,No
Skyrim.esm,0001329B,MinetteVinius,Minette Vinius,No
Skyrim.esm,0001329C,NosterOneEye,Noster Eagle-Eye,No
Skyrim.esm,0001329D,OctieveSan,Octieve San,No
Skyrim.esm,0001329E,Odar,Odar,No
Skyrim.esm,0001329F,PanteaAteia,Pantea Ateia,No
Skyrim.esm,000132A0,TG04EECDockmaster,East Empire Dockmaster,No
Skyrim.esm,000132A1,Rikke,Legate Rikke,No
Skyrim.esm,000132A2,Rorlund,Rorlund,No
Skyrim.esm,000132A3,SabineNytte,Sabine Nytte,No
Skyrim.esm,000132A4,DalanMerchad,Dalan Merchad,No
Skyrim.esm,000132A5,SilanaPetreia,Silana Petreia,No
Skyrim.esm,000132A6,Snilling,Snilling,No
Skyrim.esm,000132A7,SorexVinius,Sorex Vinius,No
Skyrim.esm,000132A8,Styrr,Styrr,No
Skyrim.esm,000132A9,Svari,Svari,No
Skyrim.esm,000132AA,SybilleStentor,Sybille Stentor,No
Skyrim.esm,000132AB,Taarie,Taarie,No
Skyrim.esm,000132AC,Una,Una,No
Skyrim.esm,000132AD,Viarmo,Viarmo,No
Skyrim.esm,000132AE,VivienneOnis,Vivienne Onis,No
Skyrim.esm,00013346,Aerin,Aerin,No
Skyrim.esm,00013347,Alessandra,Alessandra,No
Skyrim.esm,00013349,Anuriel,Anuriel,No
Skyrim.esm,0001334A,Aringoth,Aringoth,No
Skyrim.esm,0001334B,Asgeir,Asgeir Snow-Shod,No
Skyrim.esm,0001334C,Balimund,Balimund,No
Skyrim.esm,0001334D,Bersi,Bersi Honey-Hand,No
Skyrim.esm,0001334E,Bolli,Bolli,No
Skyrim.esm,0001334F,BrandShei,Brand-Shei,No
Skyrim.esm,00013350,ConstanceMichel,Constance Michel,No
Skyrim.esm,00013351,Hofgrir,Hofgrir Horse-Crusher,No
Skyrim.esm,00013352,Dinya,Dinya Balu,No
Skyrim.esm,00013353,Dravin,Dravin Llanith,No
Skyrim.esm,00013354,Drifa,Drifa,No
Skyrim.esm,00013356,Edda,Edda,No
Skyrim.esm,00013357,Elgrim,Elgrim,No
Skyrim.esm,00013358,Esbern,Esbern,No
Skyrim.esm,00013359,Francois,Francois Beaufort,No
Skyrim.esm,0001335A,FromDeepestFathoms,From-Deepest-Fathoms,No
Skyrim.esm,0001335B,Maramal,Maramal,No
Skyrim.esm,0001335E,Grelod,Grelod the Kind,No
Skyrim.esm,0001335F,Haelga,Haelga,No
Skyrim.esm,00013360,Hafjorg,Hafjorg,No
Skyrim.esm,00013361,Harrald,Harrald,No
Skyrim.esm,00013362,Hemming,Hemming Black-Briar,No
Skyrim.esm,00013363,Hroar,Hroar,No
Skyrim.esm,00013364,Ingun,Ingun Black-Briar,No
Skyrim.esm,00013365,Keerava,Keerava,No
Skyrim.esm,00013366,Laila,Laila Law-Giver,No
Skyrim.esm,00013367,Threki,Threki the Innocent,No
Skyrim.esm,00013368,LouisLetrush,Louis Letrush,No
Skyrim.esm,00013369,Marise,Marise Aravel,No
Skyrim.esm,0001336A,Maven,Maven Black-Briar,No
Skyrim.esm,0001336B,Mjoll,Mjoll the Lioness,No
Skyrim.esm,0001336C,Molgrom,Molgrom Twice-Killed,No
Skyrim.esm,0001336D,Dirge,Dirge,No
Skyrim.esm,0001336E,Niluva,Niluva Hlaalu,No
Skyrim.esm,0001336F,Nivenor,Nivenor,No
Skyrim.esm,00013370,Indaryn,Indaryn,No
Skyrim.esm,00013371,Shadr,Shadr,No
Skyrim.esm,00013372,Nura,Nura Snow-Shod,No
Skyrim.esm,00013373,TalenJei,Talen-Jei,No
Skyrim.esm,00013377,Romlyn,Romlyn Dreth,No
Skyrim.esm,00013378,Runa,Runa Fair-Shield,No
Skyrim.esm,00013379,Saerlund,Saerlund,No
Skyrim.esm,0001337A,Samuel,Samuel,No
Skyrim.esm,0001337B,Sibbi,Sibbi Black-Briar,No
Skyrim.esm,0001337C,Svana,Svana Far-Shield,No
Skyrim.esm,0001337D,Tythis,Tythis Ulen,No
Skyrim.esm,0001337E,Ungrien,Ungrien,No
Skyrim.esm,0001337F,Valindor,Valindor,No
Skyrim.esm,00013380,Vekel,Vekel the Man,No
Skyrim.esm,00013381,Vulwulf,Vulwulf Snow-Shod,No
Skyrim.esm,00013382,Wujeeta,Wujeeta,No
Skyrim.esm,00013385,Adara,Adara,No
Skyrim.esm,00013386,Anwen,Anwen,No
Skyrim.esm,00013387,Anton,Anton Virane,No
Skyrim.esm,00013388,Betrid,Betrid Silver-Blood,No
Skyrim.esm,00013389,Braig,Braig,No
Skyrim.esm,0001338A,Borkul,Borkul the Beast,No
Skyrim.esm,0001338B,Bothela,Bothela,No
Skyrim.esm,0001338C,BrotherVerulus,Brother Verulus,No
Skyrim.esm,0001338E,Calcelmo,Calcelmo,No
Skyrim.esm,0001338F,Cedran,Cedran,No
Skyrim.esm,00013390,Cosnach,Cosnach,No
Skyrim.esm,00013391,Daighre,Daighre,No
Skyrim.esm,00013392,Degaine,Degaine,No
Skyrim.esm,00013393,Duach,Duach,No
Skyrim.esm,00013394,Eltrys,Eltrys,No
Skyrim.esm,00013395,Endon,Endon,No
Skyrim.esm,00013396,Ennoc,Ennoc,No
Skyrim.esm,00013397,Faleen,Faleen,No
Skyrim.esm,00013398,Frabbi,Frabbi,No
Skyrim.esm,0001339A,GhorzaGraBagol,Ghorza gra-Bagol,No
Skyrim.esm,0001339B,Grisvar,Grisvar the Unlucky,No
Skyrim.esm,0001339C,Hathrasil,Hathrasil,No
Skyrim.esm,0001339D,Hreinn,Hreinn,No
Skyrim.esm,0001339E,Hroki,Hroki,No
Skyrim.esm,0001339F,Igmund,Igmund,No
Skyrim.esm,000133A0,Ildene,Nana Ildene,No
Skyrim.esm,000133A1,Imedhnain,Imedhnain,No
Skyrim.esm,000133A2,Kerah,Kerah,No
Skyrim.esm,000133A3,Kleppr,Kleppr,No
Skyrim.esm,000133A5,Lisbet,Lisbet,No
Skyrim.esm,000133A6,Logrolf,Logrolf the Willful,No
Skyrim.esm,000133A7,Madanach,Madanach,No
Skyrim.esm,000133A9,MulushGroShugurz,Mulush gro-Shugurz,No
Skyrim.esm,000133AA,Nepos,Nepos the Nose,No
Skyrim.esm,000133AB,Erith,Erith,No
Skyrim.esm,000133AC,Odvan,Odvan,No
Skyrim.esm,000133AD,Ogmund,Ogmund,No
Skyrim.esm,000133AE,Omluag,Omluag,No
Skyrim.esm,000133AF,Ondolemar,Ondolemar,No
Skyrim.esm,000133B0,Orla,Orla,No
Skyrim.esm,000133B1,PavoAttius,Pavo Attius,No
Skyrim.esm,000133B2,Raerek,Raerek,No
Skyrim.esm,000133B3,Reburrus,Reburrus Quintilius,No
Skyrim.esm,000133B4,Rhiada,Rhiada,No
Skyrim.esm,000133B5,Rogatus,Rogatus Salvius,No
Skyrim.esm,000133B6,Rondach,Rondach,No
Skyrim.esm,000133B7,Senna,Senna,No
Skyrim.esm,000133B8,Skaggi,Skaggi Scar-Face,No
Skyrim.esm,000133B9,Sosia,Sosia Tremellia,No
Skyrim.esm,000133BA,Thonar,Thonar Silver-Blood,No
Skyrim.esm,000133BB,Thongvor,Thongvor Silver-Blood,No
Skyrim.esm,000133BC,Uaile,Uaile,No
Skyrim.esm,000133BD,Uraccen,Uraccen,No
Skyrim.esm,000133BE,UrzogaGraShugurz,Urzoga gra-Shugurz,No
Skyrim.esm,000133BF,Vigdis,Vigdis Salvius,No
Skyrim.esm,000133C0,Voada,Voada,No
Skyrim.esm,000133C1,Yngvar,Yngvar the Singer,No
Skyrim.esm,00013475,Alvor,Alvor,No
Skyrim.esm,00013476,Sigrid,Sigrid,No
Skyrim.esm,00013477,Dorthe,Dorthe,No
Skyrim.esm,00013478,Delphine,Delphine,No
Skyrim.esm,00013479,Orgnar,Orgnar,No
Skyrim.esm,0001347A,LucanValerius,Lucan Valerius,No
Skyrim.esm,0001347B,CamillaValerius,Camilla Valerius,No
Skyrim.esm,0001347C,Gerdur,Gerdur,No
Skyrim.esm,0001347D,Hod,Hod,No
Skyrim.esm,0001347E,Frodnar,Frodnar,No
Skyrim.esm,0001347F,Sven,Sven,No
Skyrim.esm,00013480,Faendal,Faendal,No
Skyrim.esm,000135E5,Agni,Agni,No
Skyrim.esm,000135E6,Alva,Alva,No
Skyrim.esm,000135E7,Aslfur,Aslfur,No
Skyrim.esm,000135E8,Benor,Benor,No
Skyrim.esm,000135E9,Falion,Falion,No
Skyrim.esm,000135EA,Gorm,Gorm,No
Skyrim.esm,000135EB,IdgrodRavencrone,Idgrod Ravencrone,No
Skyrim.esm,000135EC,IdgrodTheYounger,Idgrod the Younger,No
Skyrim.esm,000135ED,Jonna,Jonna,No
Skyrim.esm,000135EE,Joric,Joric,No
Skyrim.esm,000135EF,Lami,Lami,No
Skyrim.esm,000135F0,Hroggar,Hroggar,No
Skyrim.esm,000135F1,Virkmund,Virkmund,No
Skyrim.esm,000135F2,Thonnir,Thonnir,No
Skyrim.esm,00013602,ArgiFarseer,Argi Farseer,No
Skyrim.esm,00013603,GesturRockbreaker,Gestur Rockbreaker,No
Skyrim.esm,00013604,Jesper,Jesper,No
Skyrim.esm,00013605,Pactur,Pactur,No
Skyrim.esm,00013606,Sorli,Sorli the Builder,No
Skyrim.esm,00013607,Sirgar,Sirgar,No
Skyrim.esm,00013608,Swanhvir,Swanhvir,No
Skyrim.esm,00013609,Talib,Talib,No
